
> wordle-scratch-pad@0.0.0 noodle
> node index.js

prev: 101, now 101, 995
prev: 101, now 101, 996
prev: 101, now 101, 997
prev: 101, now 101, 998
prev: 101, now 101, 999
prev: 101, now 101, 1000
prev: 101, now 101, 1001
prev: 101, now 101, 1002
prev: 101, now 101, 1003
prev: 101, now 101, 1004
prev: 101, now 101, 1005
prev: 101, now 101, 1006
prev: 101, now 101, 1007
prev: 101, now 101, 1008
prev: 101, now 101, 1009
prev: 101, now 101, 1010
prev: 101, now 101, 1011
prev: 101, now 101, 1012
prev: 101, now 101, 1013
prev: 101, now 101, 1014
prev: 101, now 101, 1015
prev: 101, now 101, 1016
prev: 101, now 101, 1017
prev: 101, now 101, 1018
prev: 101, now 101, 1019
prev: 101, now 101, 1020
prev: 101, now 101, 1021
prev: 101, now 101, 1022
prev: 101, now 101, 1023
prev: 101, now 101, 1024
prev: 101, now 101, 1025
prev: 101, now 101, 1026
prev: 101, now 101, 1027
prev: 101, now 101, 1028
prev: 101, now 101, 1029
prev: 101, now 101, 1030
prev: 101, now 101, 1031
prev: 101, now 101, 1032
prev: 101, now 101, 1033
prev: 101, now 101, 1034
prev: 101, now 101, 1035
prev: 101, now 101, 1036
prev: 101, now 101, 1037
prev: 101, now 101, 1038
prev: 101, now 101, 1039
prev: 101, now 101, 1040
prev: 101, now 101, 1041
prev: 101, now 101, 1042
prev: 101, now 101, 1043
prev: 101, now 101, 1044
prev: 101, now 101, 1045
prev: 101, now 101, 1046
prev: 101, now 101, 1047
prev: 101, now 101, 1048
prev: 101, now 101, 1049
prev: 101, now 101, 1050
prev: 101, now 101, 1051
prev: 101, now 101, 1052
prev: 101, now 101, 1053
prev: 101, now 101, 1054
prev: 101, now 101, 1055
prev: 101, now 101, 1056
prev: 101, now 101, 1057
